Airport IATA,Year,Month,Delay Date,Efficiency Factor,Carrier Delay Percentage,Weather Delay Percentage,NAS Delay Percentage,Security Delay Percentage,Late Aircraft Delay Percentage
ELP,2015,1,201501,84.48,65.67,11.11,6.89,0,16.33
CAK,2015,1,201501,86.49,39.67,7.07,26,0,27.27
MDT,2015,1,201501,82.89,37.46,0,42.69,0,19.85
OKC,2015,1,201501,93.16,62,11.25,1.38,0,25.37
HSV,2015,1,201501,89.62,52.74,1.68,22.47,0,23.11
HDN,2015,1,201501,85.19,72.75,25,2.25,0,0
MTJ,2015,1,201501,100,0,0,0,0,0
ICT,2015,1,201501,89.04,53,0,8.88,0,38.13
BIL,2015,1,201501,82.86,50.5,7,28.5,0,14
OAK,2015,1,201501,95.12,75,0,6.5,0,18.5
FAR,2015,1,201501,81.97,40.45,6.45,39.82,0,13.27
CHO,2015,1,201501,83.33,3.5,25,50,0,21.5
BZN,2015,1,201501,85.14,57.18,0,37.36,0,5.55
LEX,2015,1,201501,88.71,46.57,14.29,0.43,0,38.71
PWM,2015,1,201501,82.76,40,0.2,34,0,25.8
ROA,2015,1,201501,85.19,12.5,0.25,15.75,0,71.5
FAY,2015,1,201501,90.32,42.33,2.67,11,0,44
SGF,2015,1,201501,90.32,0,3.33,0,0,96.67
MYR,2015,1,201501,87.1,74,26,0,0,0
DAL,2015,1,201501,93.33,65.63,1.38,12.5,0,20.5
LFT,2015,1,201501,90.32,30.67,33.33,25.33,0,10.67
CAE,2015,1,201501,94.81,39,10.5,9.5,0,41
LIH,2015,1,201501,87.1,63,0,23.25,0,13.75
TUL,2015,1,201501,92,41.13,5.5,17.63,0,35.75
PSP,2015,1,201501,90,62.33,0,37.67,0,0
AGS,2015,1,201501,89.74,55.75,1.75,0,0,42.5
BIS,2015,1,201501,82.76,35.8,0,46.8,0,17.4
FSD,2015,1,201501,75,45.5,1.88,39.75,0,12.88
DLH,2015,1,201501,96.43,88,0,12,0,0
GRB,2015,1,201501,0,100,0,0,0,0
GNV,2015,1,201501,93.55,100,0,0,0,0
XNA,2015,1,201501,91.49,69.25,0,0,0,30.75
ABE,2015,1,201501,87.5,20,0,59.33,0,21
CRW,2015,1,201501,64.29,34,0,24.7,0,41.3
CHA,2015,1,201501,96.94,49.33,4.67,0,0,46
DSM,2015,1,201501,84.62,24.92,9.92,43.58,0,21.58
ILM,2015,1,201501,92.86,0,100,0,0,0
EVV,2015,1,201501,89.29,76.67,0,0,0,23.33
PSC,2015,1,201501,90.91,41,0,59,0,0
SHV,2015,1,201501,91.3,100,0,0,0,0
BTR,2015,1,201501,100,0,0,0,0,0
DFW,2015,1,201501,73.23,30.28,0.01,25.25,0,44.46
LAW,2015,1,201501,80.65,16.42,0,10.92,0,72.67
RAP,2015,1,201501,75.44,31.71,0,22.86,0,45.43
BTR,2015,1,201501,78.1,34.93,0,25.07,0,39.99
MHK,2015,1,201501,74.19,35.5,0,14.75,0,49.75
LFT,2015,1,201501,79.13,41.92,0.71,30.97,0,26.42
CRP,2015,1,201501,75.35,37.25,0,36.03,0,26.72
SJT,2015,1,201501,87.1,22.25,0,77.75,0,0
MLI,2015,1,201501,72.33,42.25,3.21,25.11,0,29.44
TYR,2015,1,201501,80,45.29,0,8.38,0,46.33
TYS,2015,1,201501,75,31.18,2.72,28.49,0,37.61
SHV,2015,1,201501,77.19,37.67,1.01,28.59,0,32.74
MOB,2015,1,201501,80.56,41.64,1.88,21.28,0,35.2
FSD,2015,1,201501,73.86,36.68,1.62,24.77,0,36.93
CRW,2015,1,201501,75.68,33.92,2.78,23.75,0,39.56
BPT,2015,1,201501,64.52,40.41,0,27.18,0,32.36
CLL,2015,1,201501,84.48,33,0,31.11,0,35.89
BRO,2015,1,201501,78.33,32.59,3.14,27.84,0,36.43
LCH,2015,1,201501,82.05,34.62,3.48,25.43,0,36.48
SPS,2015,1,201501,69.23,63.75,0,36.25,0,0
LIT,2015,1,201501,75.9,30.63,1.57,40.18,0,27.63
GGG,2015,1,201501,74.19,40,0,36.75,0,23.25
MLU,2015,1,201501,82.02,36.85,0,20.22,0,42.93
OKC,2015,1,201501,81.25,37.25,4.47,35.86,0,22.42
SGF,2015,1,201501,82.99,57.8,0,13.72,0,28.48
TUL,2015,1,201501,82.89,37.16,4.13,33.36,0,25.36
ATL,2015,1,201501,79.29,25.19,0,32.6,0,42.21
GRB,2015,1,201501,68.22,23.41,4.93,44.78,0,26.88
GSP,2015,1,201501,76.52,48.93,0.63,28.94,0,21.5
HRL,2015,1,201501,82.46,21.25,3.05,48.8,0,26.9
IAD,2015,1,201501,75.28,17.94,1.48,35.1,0,45.48
IAH,2015,1,201501,82.15,17.1,2.71,44.38,0,35.81
ORD,2015,1,201501,75.42,13.35,2.48,48.47,0,35.69
COS,2015,1,201501,88.17,40.45,5.91,28.64,0,25
EWR,2015,1,201501,79.07,13.57,1.83,46.17,0,38.43
GRK,2015,1,201501,70.71,49.51,0,26.44,0,24.05
IND,2015,1,201501,77.9,32.44,2.64,37.66,0,27.25
JAX,2015,1,201501,70,31.81,0,39.78,0,28.41
MAF,2015,1,201501,80.95,28.7,3.8,39.11,0,28.39
MSN,2015,1,201501,75.73,29.66,4.72,23.54,0,42.08
HPN,2015,1,201501,76.25,50.75,2.87,17.8,0,28.56
LGA,2015,1,201501,71.16,30.02,0.09,40.58,0,29.32
ORF,2015,1,201501,75.94,32.84,7.47,39.96,0,19.71
SAT,2015,1,201501,77.19,36.88,0,33.04,0,30.12
CLT,2015,1,201501,71.72,26.29,5.09,39.82,0,28.78
DEN,2015,1,201501,78.84,14.09,3.28,42.86,0,39.76
DTW,2015,1,201501,81.6,27.32,0.47,23.29,0,48.92
MSP,2015,1,201501,79.73,27.12,0,30.66,0,42.23
RIC,2015,1,201501,72.27,26.81,0.6,31.42,0,41.17
SAV,2015,1,201501,65.17,22.63,6.44,34.76,0,36.17
LAN,2015,1,201501,66.23,26.88,7.04,36.27,0,29.77
MEM,2015,1,201501,74.45,26.37,2.39,48.94,0,22.3
HSV,2015,1,201501,76.98,31.91,1.47,32.34,0,34.31
MCI,2015,1,201501,75.47,25.62,5.32,27.98,0,41.08
ROC,2015,1,201501,77.04,33.26,1.94,33.61,0,31.19
ISN,2015,1,201501,68.6,42.11,1.21,41.24,0,15.45
STL,2015,1,201501,79.28,25.1,4.52,46.67,0,23.71
CMH,2015,1,201501,75.57,25.07,0,56.39,0,18.54
CVG,2015,1,201501,73.95,27.49,3.92,37.53,0,31.06
LNK,2015,1,201501,76.51,31.23,0,26.17,0,42.57
BNA,2015,1,201501,74.25,29.06,0.8,42.96,0,27.18
GSO,2015,1,201501,76.11,40.13,1.16,32.52,0,26.19
ICT,2015,1,201501,83.65,22.54,3.85,34.46,0,39.15
CLE,2015,1,201501,81.41,22.24,2.42,36.3,0,39.04
DCA,2015,1,201501,81.14,26.28,0,52.3,0,21.42
SDF,2015,1,201501,76.61,30.76,1.39,41.84,0,26
LBB,2015,1,201501,74.83,28.32,2.32,37.18,0,32.18
