Airport IATA,Airport Name,City,Latitude,Longitude,Altitude
ABE,Lehigh Valley International Airport,Allentown,40.65209961,-75.44080353,393
ABI,Abilene Regional Airport,Abilene,32.41130066,-99.68190002,1791
ABQ,Albuquerque International Sunport Airport,Albuquerque,35.04019928,-106.6090012,5355
ABR,Aberdeen Regional Airport,Aberdeen,45.44910049,-98.42179871,1302
ABY,Southwest Georgia Regional Airport,Albany,31.53549957,-84.19450378,197
ACK,Nantucket Memorial Airport,Nantucket,41.25310135,-70.06020355,47
ACT,Waco Regional Airport,Waco,31.61129951,-97.23049927,516
ACV,Arcata Airport,Arcata CA,40.97809982,-124.1090012,221
ACY,Atlantic City International Airport,Atlantic City,39.45759964,-74.57720184,75
ADK,Adak Airport,Adak Island,51.87799835,-176.6459961,18
ADQ,Kodiak Airport,Kodiak,57.75,-152.4940033,78
AEX,Alexandria International Airport,Alexandria,31.32740021,-92.54979706,89
AGS,Augusta Regional At Bush Field,Bush Field,33.36989975,-81.96450043,144
AKN,King Salmon Airport,King Salmon,58.67679977,-156.6490021,73
ALB,Albany International Airport,Albany,42.74829865,-73.80169678,285
ALO,Waterloo Regional Airport,Waterloo,42.55709839,-92.40029907,873
AMA,Rick Husband Amarillo International Airport,Amarillo,35.2193985,-101.7060013,3607
ANC,Ted Stevens Anchorage International Airport,Anchorage,61.17440033,-149.9960022,152
APN,Alpena County Regional Airport,Alpena,45.0780983,-83.56030273,690
ART,Watertown International Airport,Watertown,43.9919014,-76.021698,325
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,39.22320175,-106.8690033,7820
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,33.63669968,-84.42810059,1026
ATW,Appleton International Airport,Appleton,44.2580986,-88.51909637,918
AUS,Austin Bergstrom International Airport,Austin,30.19449997,-97.66989899,542
AVL,Asheville Regional Airport,Asheville,35.43619919,-82.54180145,2165
AVP,Wilkes Barre Scranton International Airport,Scranton,41.33850098,-75.7233963,962
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo,42.23490143,-85.55210114,874
BDL,Bradley International Airport,Windsor Locks,41.93889999,-72.68319702,173
BET,Bethel Airport,Bethel,60.77980042,-161.8379974,126
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,41.87400055,-103.5960007,3967
BFL,Meadows Field,Bakersfield,35.43360138,-119.0569992,510
BGM,Greater Binghamton/Edwin A Link field,Binghamton,42.20869827,-75.97979736,1636
BGR,Bangor International Airport,Bangor,44.80739975,-68.82810211,192
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,33.56290054,-86.75350189,650
BIL,Billings Logan International Airport,Billings,45.80770111,-108.5429993,3652
BIS,Bismarck Municipal Airport,Bismarck,46.77270126,-100.7460022,1661
BJI,Bemidji Regional Airport,Bemidji,47.50939941,-94.93370056,1391
BLI,Bellingham International Airport,Bellingham,48.7928009,-122.538002,170
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,40.47710037,-88.91590118,871
BNA,Nashville International Airport,Nashville,36.12450027,-86.67819977,599
BOI,Boise Air Terminal/Gowen field,Boise,43.56439972,-116.2229996,2871
BOS,General Edward Lawrence Logan International Airport,Boston,42.36429977,-71.00520325,20
BPT,Southeast Texas Regional Airport,Beaumont,29.95079994,-94.02069855,15
BQK,Brunswick Golden Isles Airport,Brunswick,31.25880051,-81.46649933,26
BRD,Brainerd Lakes Regional Airport,Brainerd,46.39830017,-94.13809967,1232
BRO,Brownsville South Padre Island International Airport,Brownsville,25.90679932,-97.42590332,22
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,71.285402,-156.766008,44
