iata,name,year,month,efficiencyFactor
ELP, El Paso International,2015,1,84.48
CAK, Akron-Canton Regional,2015,1,86.49
MDT, Harrisburg International,2015,1,82.89
OKC, Will Rogers World,2015,1,93.16
HSV, Huntsville International-Carl T Jones Field,2015,1,89.62
HDN, Yampa Valley,2015,1,85.19
MTJ, Montrose Regional,2015,1,100
ICT, Wichita Dwight D Eisenhower National,2015,1,89.04
BIL, Billings Logan International,2015,1,82.86
OAK, Metropolitan Oakland International,2015,1,95.12
FAR, Hector International,2015,1,81.97
CHO, Charlottesville Albemarle,2015,1,83.33
BZN, Bozeman Yellowstone International,2015,1,85.14
LEX, Blue Grass,2015,1,88.71
PWM, Portland International Jetport,2015,1,82.76
ROA, Roanoke Blacksburg Regional Woodrum Field,2015,1,85.19
FAY, Fayetteville Regional/Grannis Field,2015,1,90.32
SGF, Springfield-Branson National,2015,1,90.32
MYR, Myrtle Beach International,2015,1,87.1
DAL, Dallas Love Field,2015,1,93.33
LFT, Lafayette Regional Paul Fournet Field,2015,1,90.32
CAE, Columbia Metropolitan,2015,1,94.81
LIH, Lihue Airport,2015,1,87.1
TUL, Tulsa International,2015,1,92
PSP, Palm Springs International,2015,1,90
AGS, Augusta Regional at Bush Field,2015,1,89.74
BIS, Bismarck Municipal,2015,1,82.76
FSD, Joe Foss Field,2015,1,75
DLH, Duluth International,2015,1,96.43
STX, Henry E. Rohlsen,2015,1,100
GRB, Green Bay Austin Straubel International,2015,1,0
GNV, Gainesville Regional,2015,1,93.55
XNA, Northwest Arkansas Regional,2015,1,91.49
ABE, Lehigh Valley International,2015,1,87.5
CRW, Yeager,2015,1,64.29
CHA, Lovell Field,2015,1,96.94
DSM, Des Moines International,2015,1,84.62
ILM, Wilmington International,2015,1,92.86
EVV, Evansville Regional,2015,1,89.29
PSC, Tri Cities,2015,1,90.91
SHV, Shreveport Regional,2015,1,91.3
BTR, Baton Rouge Metropolitan/Ryan Field,2015,1,100
DFW, Dallas/Fort Worth International,2015,1,73.23
LAW, Lawton-Fort Sill Regional,2015,1,80.65
RAP, Rapid City Regional,2015,1,75.44
BTR, Baton Rouge Metropolitan/Ryan Field,2015,1,78.1
MHK, Manhattan Regional,2015,1,74.19
LFT, Lafayette Regional Paul Fournet Field,2015,1,79.13
CRP, Corpus Christi International,2015,1,75.35
SJT, San Angelo Regional/Mathis Field,2015,1,87.1
MLI, Quad City International,2015,1,72.33
TYR, Tyler Pounds Regional,2015,1,80
TYS, McGhee Tyson,2015,1,75
SHV, Shreveport Regional,2015,1,77.19
MOB, Mobile Regional,2015,1,80.56
FSD, Joe Foss Field,2015,1,73.86
CRW, Yeager,2015,1,75.68
BPT, Jack Brooks Regional,2015,1,64.52
